,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,dep,gs3,pa,p1
67,19.0,20.0,11.0,2.875,3.0,2.7777777777777777,3.375,2.6,01,-1.2000000000000002,-0.42857142857142855,0.0
68,16.0,17.0,12.0,4.25,2.4444444444444446,4.333333333333333,1.875,3.0,01,1.4,0.0,0.14285714285714285
69,16.0,15.0,11.0,2.125,2.7777777777777777,4.4444444444444455,2.25,3.8,01,0.3999999999999999,-0.42857142857142855,0.0
70,12.0,10.0,8.0,4.375,2.7777777777777777,4.666666666666667,1.875,3.4,01,0.40000000000000036,-0.5714285714285714,0.14285714285714285
71,16.0,19.0,9.0,4.375,4.5555555555555545,4.666666666666667,1.625,3.4,01,1.4,-0.5714285714285714,0.14285714285714285
72,23.0,21.0,6.0,3.375,2.888888888888889,2.7777777777777777,3.0,3.5,01,1.7999999999999998,-0.5714285714285714,-0.42857142857142855
73,8.0,7.0,3.0,2.25,3.888888888888889,3.7777777777777777,1.75,3.2,01,0.3999999999999999,0.0,0.0
74,15.0,16.0,10.0,1.0,2.555555555555556,3.7777777777777777,3.875,2.2,01,1.7999999999999998,-0.7142857142857143,0.0
75,15.0,13.0,10.0,3.0,2.888888888888889,3.7777777777777777,3.125,4.0,01,0.8000000000000003,0.2857142857142857,0.42857142857142855
76,8.0,8.0,3.0,4.5,4.4444444444444455,4.777777777777779,1.75,3.7,01,-0.6000000000000001,-0.42857142857142855,0.0
77,10.0,8.0,8.0,1.875,3.111111111111111,4.333333333333333,3.125,3.4,01,0.7999999999999998,0.0,0.7142857142857143
78,9.0,16.0,8.0,4.5,4.333333333333333,3.7777777777777777,1.75,3.9,01,1.2000000000000002,-1.1428571428571428,-0.42857142857142855
79,8.0,11.0,5.0,1.0,3.7777777777777777,3.7777777777777777,1.75,4.2,01,-0.5999999999999996,0.42857142857142855,0.42857142857142855
80,20.0,18.0,9.0,3.5,2.888888888888889,3.4444444444444446,2.5,3.1,01,-0.7999999999999998,-0.42857142857142855,0.0
81,13.0,20.0,10.0,2.25,4.4444444444444455,4.333333333333333,4.5,4.7,01,-1.0000000000000004,-0.5714285714285714,0.14285714285714285
82,11.0,12.0,12.0,4.625,3.888888888888889,5.0,1.875,3.0,01,1.0,0.5714285714285714,0.14285714285714285
